time1,time2,lat1,lon1,alt1,lat2,lon2,alt2,Nationality
3229,4652,7.95984793,-1.207301223,914,-1.427420251,-78.76707246,145,Ghana
3247,4085,7.95984793,-1.207301223,3353,8.507187203,-80.1026627,-69,Ghana
3025,4206,7.95984793,-1.207301223,8230,8.507187203,-80.1026627,1875,Ghana
3137,4635,10.43821199,-10.9417728,0,-35.37643789,-65.16772759,206,Guinea
3185,4397,10.43821199,-10.9417728,914,-35.37643789,-65.16772759,0,Guinea
3790,4587,10.43821199,-10.9417728,1829,-10.77310899,-53.08981997,4953,Guinea
3556,4053,10.43821199,-10.9417728,10668,-10.77310899,-53.08981997,2713,Guinea
3487,4148,10.43821199,-10.9417728,10973,-10.77310899,-53.08981997,46,Guinea
3979,4828,10.43821199,-10.9417728,11887,-10.77310899,-53.08981997,175,Guinea
3973,4582,10.43821199,-10.9417728,305,-10.77310899,-53.08981997,579,Guinea
3857,4136,10.43821199,-10.9417728,305,-10.77310899,-53.08981997,488,Guinea
3369,4668,10.43821199,-10.9417728,305,-10.77310899,-53.08981997,2057,Guinea
3067,4863,10.43821199,-10.9417728,610,-10.77310899,-53.08981997,2957,Guinea
3721,4903,10.43821199,-10.9417728,1524,-10.77310899,-53.08981997,30,Guinea
3038,4867,10.43821199,-10.9417728,914,-10.77310899,-53.08981997,122,Guinea
3694,4110,10.43821199,-10.9417728,914,-10.77310899,-53.08981997,175,Guinea
3196,4563,10.43821199,-10.9417728,8534,-10.77310899,-53.08981997,282,Guinea
3131,4970,10.43821199,-10.9417728,0,-10.77310899,-53.08981997,99,Guinea
3296,4152,10.43821199,-10.9417728,-305,-10.77310899,-53.08981997,221,Guinea
3168,4229,10.43821199,-10.9417728,8230,-10.77310899,-53.08981997,6614,Guinea
3203,4662,10.43821199,-10.9417728,610,-10.77310899,-53.08981997,206,Guinea
3114,4455,10.43821199,-10.9417728,0,3.90115501,-73.07336878,2652,Guinea
3982,4058,10.43821199,-10.9417728,0,3.90115501,-73.07336878,61,Guinea
3980,4379,10.43821199,-10.9417728,1829,3.90115501,-73.07336878,1250,Guinea
3037,4818,10.43821199,-10.9417728,0,-1.427420251,-78.76707246,0,Guinea
3639,4142,10.43821199,-10.9417728,-305,18.94160863,-72.67946007,-8,Guinea
3520,4540,10.43821199,-10.9417728,0,18.94160863,-72.67946007,3383,Guinea
3937,4260,10.43821199,-10.9417728,914,18.94160863,-72.67946007,4686,Guinea
3782,4550,10.43821199,-10.9417728,0,8.507187203,-80.1026627,251,Guinea
3192,4506,10.43821199,-10.9417728,3353,8.507187203,-80.1026627,282,Guinea
3506,4331,10.43821199,-10.9417728,305,8.507187203,-80.1026627,-122,Guinea
3258,4081,10.43821199,-10.9417728,305,-9.163760635,-74.37562758,0,Guinea
3453,4476,10.43821199,-10.9417728,4877,-9.163760635,-74.37562758,-30,Guinea
3417,4964,17.35027937,-3.524422414,914,-10.77310899,-53.08981997,76,Mali
3379,4488,17.35027937,-3.524422414,1524,-10.77310899,-53.08981997,396,Mali
3117,4106,17.35027937,-3.524422414,2134,-10.77310899,-53.08981997,1250,Mali
3758,4752,17.35027937,-3.524422414,305,3.90115501,-73.07336878,457,Mali
3784,4520,17.35027937,-3.524422414,0,3.90115501,-73.07336878,267,Mali
3308,4548,20.25985147,-10.33229809,305,20.25985147,-10.33229809,175,Mauritania
3898,4159,9.593960118,8.1053064,305,-10.77310899,-53.08981997,457,Nigeria
3253,4569,9.593960118,8.1053064,9449,-10.77310899,-53.08981997,419,Nigeria
3650,4497,9.593960118,8.1053064,0,-10.77310899,-53.08981997,8824,Nigeria
3902,4389,9.593960118,8.1053064,0,-10.77310899,-53.08981997,282,Nigeria
3648,4417,9.593960118,8.1053064,305,-10.77310899,-53.08981997,1974,Nigeria
3296,4640,9.593960118,8.1053064,0,-10.77310899,-53.08981997,9449,Nigeria
3774,4640,9.593960118,8.1053064,305,-10.77310899,-53.08981997,1372,Nigeria
3163,4362,9.593960118,8.1053064,0,-10.77310899,-53.08981997,122,Nigeria
3011,4315,9.593960118,8.1053064,10363,-10.77310899,-53.08981997,0,Nigeria
3803,4250,9.593960118,8.1053064,0,3.90115501,-73.07336878,3246,Nigeria
3312,4259,9.593960118,8.1053064,9144,3.90115501,-73.07336878,0,Nigeria
3255,4225,9.593960118,8.1053064,305,9.593960118,8.1053064,732,Nigeria
3102,4460,9.593960118,8.1053064,0,8.507187203,-80.1026627,91,Nigeria
3937,4759,9.593960118,8.1053064,4267,8.507187203,-80.1026627,1082,Nigeria
3715,4505,9.593960118,8.1053064,8230,-32.79964546,-56.01239642,335,Nigeria
3509,4540,14.36696542,-14.46765276,2438,-35.37643789,-65.16772759,6561,Senegal
3844,4920,14.36696542,-14.46765276,0,-35.37643789,-65.16772759,792,Senegal
3881,4844,14.36696542,-14.46765276,2438,-35.37643789,-65.16772759,61,Senegal
3224,4770,14.36696542,-14.46765276,10668,-35.37643789,-65.16772759,69,Senegal
3587,4226,14.36696542,-14.46765276,2438,-35.37643789,-65.16772759,8976,Senegal
3035,4015,14.36696542,-14.46765276,610,-35.37643789,-65.16772759,38,Senegal
3436,4497,14.36696542,-14.46765276,914,-35.37643789,-65.16772759,808,Senegal
3030,4746,14.36696542,-14.46765276,305,-10.77310899,-53.08981997,724,Senegal
3159,4943,14.36696542,-14.46765276,1829,-10.77310899,-53.08981997,343,Senegal
3693,4922,14.36696542,-14.46765276,0,-10.77310899,-53.08981997,0,Senegal
3007,4797,14.36696542,-14.46765276,305,-10.77310899,-53.08981997,244,Senegal
3055,4632,14.36696542,-14.46765276,10058,-10.77310899,-53.08981997,343,Senegal
3019,4756,14.36696542,-14.46765276,610,-10.77310899,-53.08981997,122,Senegal
3544,4318,14.36696542,-14.46765276,0,-10.77310899,-53.08981997,732,Senegal
3744,4852,14.36696542,-14.46765276,305,-10.77310899,-53.08981997,160,Senegal
3685,4935,14.36696542,-14.46765276,305,-10.77310899,-53.08981997,282,Senegal
3266,4408,14.36696542,-14.46765276,9754,-10.77310899,-53.08981997,9174,Senegal
3859,4882,14.36696542,-14.46765276,1524,-10.77310899,-53.08981997,53,Senegal
3776,4438,14.36696542,-14.46765276,0,-10.77310899,-53.08981997,61,Senegal
3378,4654,14.36696542,-14.46765276,0,-10.77310899,-53.08981997,2652,Senegal
3707,4074,14.36696542,-14.46765276,2743,-10.77310899,-53.08981997,-122,Senegal
3605,4931,14.36696542,-14.46765276,11582,-10.77310899,-53.08981997,541,Senegal
3402,4478,14.36696542,-14.46765276,4877,-10.77310899,-53.08981997,2736,Senegal
3521,4639,14.36696542,-14.46765276,7010,-10.77310899,-53.08981997,160,Senegal
3121,4542,14.36696542,-14.46765276,305,-10.77310899,-53.08981997,175,Senegal
3390,4449,14.36696542,-14.46765276,3962,-10.77310899,-53.08981997,1113,Senegal
3092,4801,14.36696542,-14.46765276,305,-10.77310899,-53.08981997,145,Senegal
3549,4501,14.36696542,-14.46765276,2438,-10.77310899,-53.08981997,38,Senegal
3211,4506,14.36696542,-14.46765276,0,-10.77310899,-53.08981997,8283,Senegal
3033,4839,14.36696542,-14.46765276,0,-10.77310899,-53.08981997,4747,Senegal
3801,4518,14.36696542,-14.46765276,0,-10.77310899,-53.08981997,244,Senegal
3703,4424,14.36696542,-14.46765276,305,-10.77310899,-53.08981997,152,Senegal
3595,4830,14.36696542,-14.46765276,914,3.90115501,-73.07336878,198,Senegal
3413,4649,14.36696542,-14.46765276,0,3.90115501,-73.07336878,9944,Senegal
3238,4546,14.36696542,-14.46765276,5791,3.90115501,-73.07336878,1920,Senegal
3776,4068,14.36696542,-14.46765276,305,3.90115501,-73.07336878,358,Senegal
3479,4416,14.36696542,-14.46765276,-305,3.90115501,-73.07336878,-61,Senegal
3352,4972,14.36696542,-14.46765276,3658,3.90115501,-73.07336878,1082,Senegal
3343,4171,14.36696542,-14.46765276,0,3.90115501,-73.07336878,11278,Senegal
3123,4714,14.36696542,-14.46765276,0,3.90115501,-73.07336878,2995,Senegal
3208,4055,14.36696542,-14.46765276,0,3.90115501,-73.07336878,-61,Senegal
3128,4865,14.36696542,-14.46765276,10363,3.90115501,-73.07336878,4755,Senegal
3891,4943,14.36696542,-14.46765276,305,3.90115501,-73.07336878,381,Senegal
3138,4855,14.36696542,-14.46765276,4572,3.90115501,-73.07336878,53,Senegal
3104,4653,14.36696542,-14.46765276,-305,3.90115501,-73.07336878,168,Senegal
3669,4602,14.36696542,-14.46765276,2134,3.90115501,-73.07336878,107,Senegal
3697,4604,14.36696542,-14.46765276,0,3.90115501,-73.07336878,152,Senegal
3953,4005,14.36696542,-14.46765276,1524,-1.427420251,-78.76707246,251,Senegal
3252,4980,14.36696542,-14.46765276,3353,-1.427420251,-78.76707246,-46,Senegal
3013,4160,14.36696542,-14.46765276,8839,-1.427420251,-78.76707246,6850,Senegal
3995,4047,14.36696542,-14.46765276,4572,-9.163760635,-74.37562758,602,Senegal
3065,4908,14.36696542,-14.46765276,3353,14.36696542,-14.46765276,130,Senegal
3192,4797,14.36696542,-14.46765276,10973,14.36696542,-14.46765276,-53,Senegal
3422,4252,14.36696542,-14.46765276,0,14.36696542,-14.46765276,2240,Senegal
3417,4867,14.36696542,-14.46765276,914,7.122448743,-66.16956378,-38,Senegal
3340,4735,8.560284604,-11.79192137,1219,-10.77310899,-53.08981997,10973,Sierra Leone
3927,4029,8.560284604,-11.79192137,0,-10.77310899,-53.08981997,282,Sierra Leone
3576,4801,8.560284604,-11.79192137,0,-10.77310899,-53.08981997,2012,Sierra Leone
3675,4030,8.560284604,-11.79192137,0,-10.77310899,-53.08981997,175,Sierra Leone
3350,4843,8.560284604,-11.79192137,0,-10.77310899,-53.08981997,1875,Sierra Leone
3597,4885,8.560284604,-11.79192137,1524,-10.77310899,-53.08981997,1958,Sierra Leone
3016,4747,8.560284604,-11.79192137,305,3.90115501,-73.07336878,-53,Sierra Leone
3777,4781,8.560284604,-11.79192137,1524,3.90115501,-73.07336878,1356,Sierra Leone
3342,4223,8.560284604,-11.79192137,-305,3.90115501,-73.07336878,1090,Sierra Leone
3362,4258,8.560284604,-11.79192137,305,3.90115501,-73.07336878,274,Sierra Leone
3583,4438,8.560284604,-11.79192137,0,3.90115501,-73.07336878,30,Sierra Leone
3347,4049,8.560284604,-11.79192137,305,3.90115501,-73.07336878,7010,Sierra Leone
3619,4811,8.560284604,-11.79192137,914,3.90115501,-73.07336878,4869,Sierra Leone
3188,4142,8.560284604,-11.79192137,5182,-1.427420251,-78.76707246,168,Sierra Leone
3615,4802,8.560284604,-11.79192137,0,-1.427420251,-78.76707246,274,Sierra Leone
3185,4995,8.560284604,-11.79192137,0,-1.427420251,-78.76707246,145,Sierra Leone
3252,4324,8.560284604,-11.79192137,0,8.507187203,-80.1026627,-122,Sierra Leone
3798,4724,8.560284604,-11.79192137,0,8.507187203,-80.1026627,53,Sierra Leone
3022,4373,8.560284604,-11.79192137,914,14.36696542,-14.46765276,0,Sierra Leone
3830,4901,6.063723235,45.86259003,-305,-35.37643789,-65.16772759,0,Somalia
3529,4121,6.063723235,45.86259003,0,-10.77310899,-53.08981997,23,Somalia
3000,4405,6.063723235,45.86259003,-305,-10.77310899,-53.08981997,3338,Somalia
3556,4036,6.063723235,45.86259003,0,-10.77310899,-53.08981997,-160,Somalia
3514,4746,6.063723235,45.86259003,305,-10.77310899,-53.08981997,587,Somalia
3658,4780,6.063723235,45.86259003,305,8.507187203,-80.1026627,145,Somalia
3397,4841,6.063723235,45.86259003,305,8.507187203,-80.1026627,5913,Somalia
